Loading init from /workspace/pathfinder/train/checkpoints/d5_muon/best_model.pt
Loaded d=5 H=256 L=5 376,321 params
Init LER @ 4-param p=0.007: 0.02850
  >>> saved init checkpoint (ler=0.02850)
step      0/40000  loss=0.0961  1.0 s/s  ETA 667min
step    100/40000  loss=0.1017  28.4 s/s  ETA 23min
step    200/40000  loss=0.0568  30.5 s/s  ETA 22min
step    300/40000  loss=0.1045  31.2 s/s  ETA 21min
step    400/40000  loss=0.0780  31.8 s/s  ETA 21min
step    500/40000  loss=0.0760  32.0 s/s  ETA 21min
step    600/40000  loss=0.1292  32.0 s/s  ETA 21min
step    700/40000  loss=0.0799  32.1 s/s  ETA 20min
step    800/40000  loss=0.0481  32.2 s/s  ETA 20min
step    900/40000  loss=0.0776  32.3 s/s  ETA 20min
step   1000/40000  loss=0.0697  32.3 s/s  ETA 20min
step   1100/40000  loss=0.0516  32.3 s/s  ETA 20min
step   1200/40000  loss=0.0970  32.4 s/s  ETA 20min
step   1300/40000  loss=0.0702  32.4 s/s  ETA 20min
step   1400/40000  loss=0.1193  32.4 s/s  ETA 20min
step   1500/40000  loss=0.0656  32.4 s/s  ETA 20min
step   1600/40000  loss=0.0475  32.5 s/s  ETA 20min
step   1700/40000  loss=0.1013  32.5 s/s  ETA 20min
step   1800/40000  loss=0.1250  32.5 s/s  ETA 20min
step   1900/40000  loss=0.1061  32.6 s/s  ETA 19min
step   2000/40000  loss=0.0895  32.6 s/s  ETA 19min
  >>> LER @ p=0.007: 0.02570
  >>> saved (ler=0.02570)
step   2100/40000  loss=0.0521  32.5 s/s  ETA 19min
step   2200/40000  loss=0.0545  32.5 s/s  ETA 19min
step   2300/40000  loss=0.0668  32.5 s/s  ETA 19min
step   2400/40000  loss=0.0720  32.5 s/s  ETA 19min
step   2500/40000  loss=0.1157  32.6 s/s  ETA 19min
step   2600/40000  loss=0.1124  32.6 s/s  ETA 19min
step   2700/40000  loss=0.0334  32.6 s/s  ETA 19min
step   2800/40000  loss=0.0721  32.6 s/s  ETA 19min
step   2900/40000  loss=0.0820  32.6 s/s  ETA 19min
step   3000/40000  loss=0.0642  32.6 s/s  ETA 19min
step   3100/40000  loss=0.0274  32.7 s/s  ETA 19min
step   3200/40000  loss=0.0932  32.7 s/s  ETA 19min
step   3300/40000  loss=0.0593  32.7 s/s  ETA 19min
step   3400/40000  loss=0.1010  32.7 s/s  ETA 19min
step   3500/40000  loss=0.0759  32.7 s/s  ETA 19min
step   3600/40000  loss=0.0893  32.7 s/s  ETA 19min
step   3700/40000  loss=0.0931  32.7 s/s  ETA 18min
step   3800/40000  loss=0.0944  32.7 s/s  ETA 18min
step   3900/40000  loss=0.0487  32.7 s/s  ETA 18min
step   4000/40000  loss=0.0890  32.7 s/s  ETA 18min
  >>> LER @ p=0.007: 0.03170
step   4100/40000  loss=0.0465  32.6 s/s  ETA 18min
step   4200/40000  loss=0.0869  32.6 s/s  ETA 18min
step   4300/40000  loss=0.0853  32.6 s/s  ETA 18min
step   4400/40000  loss=0.0853  32.6 s/s  ETA 18min
step   4500/40000  loss=0.0965  32.6 s/s  ETA 18min
step   4600/40000  loss=0.1018  32.6 s/s  ETA 18min
step   4700/40000  loss=0.0777  32.6 s/s  ETA 18min
step   4800/40000  loss=0.0809  32.6 s/s  ETA 18min
step   4900/40000  loss=0.0616  32.6 s/s  ETA 18min
step   5000/40000  loss=0.0723  32.6 s/s  ETA 18min
step   5100/40000  loss=0.0521  32.6 s/s  ETA 18min
step   5200/40000  loss=0.0749  32.6 s/s  ETA 18min
step   5300/40000  loss=0.0561  32.6 s/s  ETA 18min
step   5400/40000  loss=0.0609  32.6 s/s  ETA 18min
step   5500/40000  loss=0.0600  32.6 s/s  ETA 18min
step   5600/40000  loss=0.0903  32.6 s/s  ETA 18min
step   5700/40000  loss=0.0665  32.6 s/s  ETA 18min
