Model: d=5, H=512, L=5, 1,500,161 params (3.00 MB FP16)
Dataset: mixed noise log-uniform [0.001, 0.015], 60-point grid
Optimizers: ['SingleDeviceMuon', 'AdamW']
step      0/150000  loss=0.6852  p=0.00379  lr=0.00000  1.0 s/s  ETA 2500min
step    500/150000  loss=0.2624  p=0.00138  lr=0.00500  9.4 s/s  ETA 266min
step   1000/150000  loss=0.6884  p=0.01500  lr=0.01000  9.9 s/s  ETA 250min
step   1500/150000  loss=0.6523  p=0.00826  lr=0.01500  10.2 s/s  ETA 244min
step   2000/150000  loss=0.5048  p=0.00415  lr=0.02000  10.6 s/s  ETA 233min
step   2500/150000  loss=0.7255  p=0.01307  lr=0.02000  10.6 s/s  ETA 231min
step   3000/150000  loss=0.5539  p=0.00499  lr=0.02000  10.6 s/s  ETA 231min
step   3500/150000  loss=0.6651  p=0.01139  lr=0.01999  10.6 s/s  ETA 231min
step   4000/150000  loss=0.6665  p=0.01192  lr=0.01999  10.7 s/s  ETA 227min
step   4500/150000  loss=0.6531  p=0.01088  lr=0.01999  10.7 s/s  ETA 226min
step   5000/150000  loss=0.4271  p=0.00362  lr=0.01998  10.7 s/s  ETA 226min
  >>> EVAL LER p=0.001 0.05900  p=0.007 0.28780  p=0.015 0.42370
  >>> Saved best (ler@p=0.007=0.28780)
step   5500/150000  loss=0.6319  p=0.00865  lr=0.01997  10.6 s/s  ETA 226min
step   6000/150000  loss=0.5896  p=0.00754  lr=0.01996  10.7 s/s  ETA 223min
step   6500/150000  loss=0.6692  p=0.01088  lr=0.01995  10.3 s/s  ETA 232min
step   7000/150000  loss=0.2993  p=0.00173  lr=0.01994  10.0 s/s  ETA 239min
step   7500/150000  loss=0.6154  p=0.00754  lr=0.01993  9.7 s/s  ETA 244min
step   8000/150000  loss=0.3894  p=0.00199  lr=0.01992  9.8 s/s  ETA 241min
step   8500/150000  loss=0.5817  p=0.00455  lr=0.01990  9.9 s/s  ETA 238min
step   9000/150000  loss=0.6638  p=0.01139  lr=0.01989  10.0 s/s  ETA 235min
step   9500/150000  loss=0.6829  p=0.01433  lr=0.01987  10.1 s/s  ETA 232min
step  10000/150000  loss=0.2809  p=0.00151  lr=0.01986  10.2 s/s  ETA 229min
  >>> EVAL LER p=0.001 0.05490  p=0.007 0.28560  p=0.015 0.41710
  >>> Saved best (ler@p=0.007=0.28560)
step  10500/150000  loss=0.6384  p=0.00992  lr=0.01984  10.2 s/s  ETA 227min
step  11000/150000  loss=0.6048  p=0.00948  lr=0.01982  10.3 s/s  ETA 225min
step  11500/150000  loss=0.2760  p=0.00275  lr=0.01980  10.2 s/s  ETA 226min
step  12000/150000  loss=0.6382  p=0.01039  lr=0.01978  10.0 s/s  ETA 230min
step  12500/150000  loss=0.4457  p=0.00546  lr=0.01975  9.9 s/s  ETA 233min
step  13000/150000  loss=0.1402  p=0.00173  lr=0.01973  9.7 s/s  ETA 235min
step  13500/150000  loss=0.4594  p=0.00657  lr=0.01970  9.6 s/s  ETA 238min
step  14000/150000  loss=0.1892  p=0.00173  lr=0.01968  9.4 s/s  ETA 240min
