PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step      0/80000  loss=0.6538  p=0.00070  1.0 s/s  ETA 1333min
step    200/80000  loss=0.2277  p=0.00070  7.5 s/s  ETA 177min
step    400/80000  loss=0.2838  p=0.00070  7.6 s/s  ETA 175min
step    600/80000  loss=0.1644  p=0.00070  7.6 s/s  ETA 173min
step    800/80000  loss=0.0449  p=0.00070  7.7 s/s  ETA 172min
step   1000/80000  loss=0.0140  p=0.00070  7.7 s/s  ETA 172min
step   1200/80000  loss=0.0106  p=0.00070  7.7 s/s  ETA 171min
step   1400/80000  loss=0.0136  p=0.00070  7.7 s/s  ETA 171min
step   1600/80000  loss=0.0338  p=0.00070  7.7 s/s  ETA 170min
step   1800/80000  loss=0.0248  p=0.00070  7.7 s/s  ETA 170min
step   2000/80000  loss=0.0168  p=0.00070  7.7 s/s  ETA 169min
step   2200/80000  loss=0.0180  p=0.00070  7.7 s/s  ETA 169min
step   2400/80000  loss=0.0303  p=0.00070  7.7 s/s  ETA 168min
step   2600/80000  loss=0.0349  p=0.00070  7.7 s/s  ETA 168min
step   2800/80000  loss=0.0290  p=0.00070  7.7 s/s  ETA 167min
step   3000/80000  loss=0.0286  p=0.00070  7.7 s/s  ETA 167min
step   3200/80000  loss=0.0357  p=0.00070  7.7 s/s  ETA 166min
step   3400/80000  loss=0.0247  p=0.00070  7.7 s/s  ETA 166min
step   3600/80000  loss=0.0182  p=0.00070  7.7 s/s  ETA 165min
step   3800/80000  loss=0.0049  p=0.00070  7.7 s/s  ETA 165min
step   4000/80000  loss=0.0025  p=0.00070  7.7 s/s  ETA 164min
  >>> LER @ p=0.007: 0.26370
  >>> saved (ler=0.26370)
step   4200/80000  loss=0.0011  p=0.00070  7.7 s/s  ETA 164min
step   4400/80000  loss=0.0055  p=0.00070  7.7 s/s  ETA 164min
step   4600/80000  loss=0.0200  p=0.00070  7.7 s/s  ETA 163min
step   4800/80000  loss=0.0210  p=0.00070  7.7 s/s  ETA 163min
step   5000/80000  loss=0.0084  p=0.00070  7.7 s/s  ETA 163min
step   5200/80000  loss=0.0147  p=0.00070  7.7 s/s  ETA 162min
step   5400/80000  loss=0.0034  p=0.00070  7.7 s/s  ETA 162min
step   5600/80000  loss=0.0177  p=0.00070  7.7 s/s  ETA 161min
step   5800/80000  loss=0.0121  p=0.00070  7.7 s/s  ETA 161min
step   6000/80000  loss=0.0162  p=0.00070  7.7 s/s  ETA 160min
step   6200/80000  loss=0.0215  p=0.00070  7.7 s/s  ETA 160min
