Ablation: AdamW on ALL params, d=7, H=256, L=7, 500,225 params
Pre-compiled 41 samplers at 3-parameter noise (Table 4 methodology).
step      0/80000  loss=0.5829  p=0.00070  1.0 s/s  ETA 1333min
step    100/80000  loss=0.1498  p=0.00070  27.9 s/s  ETA 48min
step    200/80000  loss=0.2463  p=0.00070  30.2 s/s  ETA 44min
step    300/80000  loss=0.2120  p=0.00070  31.0 s/s  ETA 43min
step    400/80000  loss=0.2121  p=0.00070  31.5 s/s  ETA 42min
step    500/80000  loss=0.1776  p=0.00070  31.7 s/s  ETA 42min
step    600/80000  loss=0.2012  p=0.00070  31.9 s/s  ETA 41min
step    700/80000  loss=0.1521  p=0.00070  32.0 s/s  ETA 41min
step    800/80000  loss=0.2777  p=0.00070  32.1 s/s  ETA 41min
step    900/80000  loss=0.2623  p=0.00070  32.2 s/s  ETA 41min
step   1000/80000  loss=0.1909  p=0.00070  32.3 s/s  ETA 41min
step   1100/80000  loss=0.2121  p=0.00070  32.3 s/s  ETA 41min
step   1200/80000  loss=0.2712  p=0.00070  32.4 s/s  ETA 41min
step   1300/80000  loss=0.2139  p=0.00070  32.4 s/s  ETA 40min
step   1400/80000  loss=0.2150  p=0.00070  32.4 s/s  ETA 40min
step   1500/80000  loss=0.1670  p=0.00070  32.5 s/s  ETA 40min
step   1600/80000  loss=0.1694  p=0.00070  32.5 s/s  ETA 40min
step   1700/80000  loss=0.2014  p=0.00070  32.5 s/s  ETA 40min
step   1800/80000  loss=0.1801  p=0.00070  32.5 s/s  ETA 40min
step   1900/80000  loss=0.1362  p=0.00070  32.6 s/s  ETA 40min
step   2000/80000  loss=0.1792  p=0.00070  32.6 s/s  ETA 40min
  >>> LER @ p=0.007: 0.34580
  >>> saved (ler=0.34580)
step   2100/80000  loss=0.2673  p=0.00070  32.3 s/s  ETA 40min
step   2200/80000  loss=0.1685  p=0.00070  32.4 s/s  ETA 40min
step   2300/80000  loss=0.1704  p=0.00070  32.4 s/s  ETA 40min
step   2400/80000  loss=0.2011  p=0.00070  32.4 s/s  ETA 40min
step   2500/80000  loss=0.2653  p=0.00070  32.4 s/s  ETA 40min
step   2600/80000  loss=0.2251  p=0.00070  32.5 s/s  ETA 40min
step   2700/80000  loss=0.2339  p=0.00070  32.5 s/s  ETA 40min
step   2800/80000  loss=0.1911  p=0.00070  32.5 s/s  ETA 40min
step   2900/80000  loss=0.2386  p=0.00070  32.5 s/s  ETA 40min
step   3000/80000  loss=0.1562  p=0.00070  32.5 s/s  ETA 39min
step   3100/80000  loss=0.1371  p=0.00070  32.5 s/s  ETA 39min
step   3200/80000  loss=0.3216  p=0.00070  32.6 s/s  ETA 39min
step   3300/80000  loss=0.2241  p=0.00070  32.6 s/s  ETA 39min
step   3400/80000  loss=0.1543  p=0.00070  32.6 s/s  ETA 39min
step   3500/80000  loss=0.1892  p=0.00070  32.6 s/s  ETA 39min
step   3600/80000  loss=0.1918  p=0.00070  32.6 s/s  ETA 39min
step   3700/80000  loss=0.1911  p=0.00070  32.6 s/s  ETA 39min
step   3800/80000  loss=0.2565  p=0.00070  32.6 s/s  ETA 39min
step   3900/80000  loss=0.1479  p=0.00070  32.6 s/s  ETA 39min
step   4000/80000  loss=0.2576  p=0.00070  32.6 s/s  ETA 39min
  >>> LER @ p=0.007: 0.35230
step   4100/80000  loss=0.1552  p=0.00070  32.6 s/s  ETA 39min
step   4200/80000  loss=0.2010  p=0.00070  32.6 s/s  ETA 39min
step   4300/80000  loss=0.1911  p=0.00070  32.7 s/s  ETA 39min
step   4400/80000  loss=0.1902  p=0.00070  32.7 s/s  ETA 39min
step   4500/80000  loss=0.2341  p=0.00070  32.7 s/s  ETA 38min
step   4600/80000  loss=0.2659  p=0.00070  32.7 s/s  ETA 38min
step   4700/80000  loss=0.2565  p=0.00070  32.8 s/s  ETA 38min
step   4800/80000  loss=0.2121  p=0.00070  32.8 s/s  ETA 38min
step   4900/80000  loss=0.2249  p=0.00070  32.8 s/s  ETA 38min
step   5000/80000  loss=0.2475  p=0.00070  32.9 s/s  ETA 38min
step   5100/80000  loss=0.2446  p=0.00070  32.9 s/s  ETA 38min
step   5200/80000  loss=0.1903  p=0.00070  32.9 s/s  ETA 38min
step   5300/80000  loss=0.2131  p=0.00070  33.0 s/s  ETA 38min
step   5400/80000  loss=0.1451  p=0.00070  33.0 s/s  ETA 38min
step   5500/80000  loss=0.2125  p=0.00070  33.0 s/s  ETA 38min
step   5600/80000  loss=0.2460  p=0.00070  33.0 s/s  ETA 38min
step   5700/80000  loss=0.2009  p=0.00070  33.0 s/s  ETA 38min
step   5800/80000  loss=0.1569  p=0.00070  33.0 s/s  ETA 37min
step   5900/80000  loss=0.2894  p=0.00070  33.0 s/s  ETA 37min
step   6000/80000  loss=0.2232  p=0.00070  33.0 s/s  ETA 37min
  >>> LER @ p=0.007: 0.34680
step   6100/80000  loss=0.1918  p=0.00070  33.0 s/s  ETA 37min
step   6200/80000  loss=0.1799  p=0.00070  33.0 s/s  ETA 37min
step   6300/80000  loss=0.2346  p=0.00070  33.0 s/s  ETA 37min
step   6400/80000  loss=0.2890  p=0.00070  33.0 s/s  ETA 37min
step   6500/80000  loss=0.2763  p=0.00070  33.1 s/s  ETA 37min
step   6600/80000  loss=0.2009  p=0.00070  33.1 s/s  ETA 37min
step   6700/80000  loss=0.2231  p=0.00070  33.1 s/s  ETA 37min
step   6800/80000  loss=0.2462  p=0.00070  33.1 s/s  ETA 37min
step   6900/80000  loss=0.2344  p=0.00070  33.1 s/s  ETA 37min
step   7000/80000  loss=0.2839  p=0.00070  33.1 s/s  ETA 37min
step   7100/80000  loss=0.1042  p=0.00070  33.2 s/s  ETA 37min
step   7200/80000  loss=0.2339  p=0.00070  33.2 s/s  ETA 37min
step   7300/80000  loss=0.2018  p=0.00070  33.2 s/s  ETA 37min
step   7400/80000  loss=0.2018  p=0.00070  33.2 s/s  ETA 36min
step   7500/80000  loss=0.2234  p=0.00070  33.2 s/s  ETA 36min
step   7600/80000  loss=0.2686  p=0.00070  33.2 s/s  ETA 36min
step   7700/80000  loss=0.2126  p=0.00070  33.3 s/s  ETA 36min
step   7800/80000  loss=0.2018  p=0.00070  33.3 s/s  ETA 36min
step   7900/80000  loss=0.1911  p=0.00070  33.3 s/s  ETA 36min
step   8000/80000  loss=0.2359  p=0.00070  33.3 s/s  ETA 36min
  >>> LER @ p=0.007: 0.34160
  >>> saved (ler=0.34160)
step   8100/80000  loss=0.1893  p=0.00070  33.2 s/s  ETA 36min
step   8200/80000  loss=0.1891  p=0.00070  33.2 s/s  ETA 36min
step   8300/80000  loss=0.3299  p=0.00070  33.2 s/s  ETA 36min
step   8400/80000  loss=0.2342  p=0.00070  33.2 s/s  ETA 36min
step   8500/80000  loss=0.2443  p=0.00070  33.2 s/s  ETA 36min
step   8600/80000  loss=0.2449  p=0.00070  33.2 s/s  ETA 36min
step   8700/80000  loss=0.1694  p=0.00070  33.2 s/s  ETA 36min
step   8800/80000  loss=0.2121  p=0.00070  33.2 s/s  ETA 36min
step   8900/80000  loss=0.1729  p=0.00070  33.2 s/s  ETA 36min
step   9000/80000  loss=0.2550  p=0.00070  33.2 s/s  ETA 36min
step   9100/80000  loss=0.2231  p=0.00070  33.2 s/s  ETA 36min
step   9200/80000  loss=0.1807  p=0.00070  33.2 s/s  ETA 36min
step   9300/80000  loss=0.3132  p=0.00070  33.2 s/s  ETA 35min
step   9400/80000  loss=0.2123  p=0.00070  33.2 s/s  ETA 35min
step   9500/80000  loss=0.2708  p=0.00070  33.2 s/s  ETA 35min
step   9600/80000  loss=0.1739  p=0.00070  33.2 s/s  ETA 35min
step   9700/80000  loss=0.3052  p=0.00070  33.2 s/s  ETA 35min
step   9800/80000  loss=0.2784  p=0.00070  33.2 s/s  ETA 35min
step   9900/80000  loss=0.2123  p=0.00070  33.2 s/s  ETA 35min
step  10000/80000  loss=0.2771  p=0.00070  33.2 s/s  ETA 35min
  >>> LER @ p=0.007: 0.34580
step  10100/80000  loss=0.1779  p=0.00070  33.2 s/s  ETA 35min
step  10200/80000  loss=0.2232  p=0.00070  33.1 s/s  ETA 35min
step  10300/80000  loss=0.1498  p=0.00070  33.1 s/s  ETA 35min
step  10400/80000  loss=0.2011  p=0.00070  33.1 s/s  ETA 35min
step  10500/80000  loss=0.2121  p=0.00070  33.1 s/s  ETA 35min
step  10600/80000  loss=0.2139  p=0.00070  33.1 s/s  ETA 35min
step  10700/80000  loss=0.1259  p=0.00070  33.1 s/s  ETA 35min
step  10800/80000  loss=0.1704  p=0.00070  33.1 s/s  ETA 35min
step  10900/80000  loss=0.2121  p=0.00070  33.1 s/s  ETA 35min
step  11000/80000  loss=0.1899  p=0.00070  33.2 s/s  ETA 35min
step  11100/80000  loss=0.2009  p=0.00070  33.2 s/s  ETA 35min
step  11200/80000  loss=0.1562  p=0.00070  33.2 s/s  ETA 35min
step  11300/80000  loss=0.3090  p=0.00070  33.2 s/s  ETA 35min
step  11400/80000  loss=0.1799  p=0.00070  33.2 s/s  ETA 34min
step  11500/80000  loss=0.2009  p=0.00070  33.2 s/s  ETA 34min
step  11600/80000  loss=0.1896  p=0.00070  33.2 s/s  ETA 34min
step  11700/80000  loss=0.2484  p=0.00070  33.2 s/s  ETA 34min
step  11800/80000  loss=0.1913  p=0.00070  33.2 s/s  ETA 34min
step  11900/80000  loss=0.1899  p=0.00070  33.2 s/s  ETA 34min
step  12000/80000  loss=0.2239  p=0.00070  33.2 s/s  ETA 34min
  >>> LER @ p=0.007: 0.34710
step  12100/80000  loss=0.2661  p=0.00070  33.2 s/s  ETA 34min
step  12200/80000  loss=0.1893  p=0.00070  33.2 s/s  ETA 34min
step  12300/80000  loss=0.2563  p=0.00070  33.2 s/s  ETA 34min
step  12400/80000  loss=0.2344  p=0.00070  33.2 s/s  ETA 34min
step  12500/80000  loss=0.2008  p=0.00070  33.2 s/s  ETA 34min
step  12600/80000  loss=0.1899  p=0.00070  33.2 s/s  ETA 34min
step  12700/80000  loss=0.2338  p=0.00070  33.2 s/s  ETA 34min
step  12800/80000  loss=0.2338  p=0.00070  33.2 s/s  ETA 34min
step  12900/80000  loss=0.2342  p=0.00070  33.2 s/s  ETA 34min
step  13000/80000  loss=0.2008  p=0.00070  33.2 s/s  ETA 34min
step  13100/80000  loss=0.2563  p=0.00070  33.2 s/s  ETA 34min
step  13200/80000  loss=0.1913  p=0.00070  33.2 s/s  ETA 34min
step  13300/80000  loss=0.2231  p=0.00070  33.2 s/s  ETA 33min
step  13400/80000  loss=0.1892  p=0.00070  33.2 s/s  ETA 33min
step  13500/80000  loss=0.2122  p=0.00070  33.2 s/s  ETA 33min
step  13600/80000  loss=0.2018  p=0.00070  33.2 s/s  ETA 33min
step  13700/80000  loss=0.2341  p=0.00070  33.2 s/s  ETA 33min
step  13800/80000  loss=0.2599  p=0.00070  33.2 s/s  ETA 33min
step  13900/80000  loss=0.1560  p=0.00070  33.2 s/s  ETA 33min
step  14000/80000  loss=0.2234  p=0.00070  33.2 s/s  ETA 33min
  >>> LER @ p=0.007: 0.34960
step  14100/80000  loss=0.1253  p=0.00070  33.2 s/s  ETA 33min
step  14200/80000  loss=0.1543  p=0.00070  33.2 s/s  ETA 33min
step  14300/80000  loss=0.2235  p=0.00070  33.2 s/s  ETA 33min
step  14400/80000  loss=0.1545  p=0.00070  33.2 s/s  ETA 33min
step  14500/80000  loss=0.2546  p=0.00070  33.2 s/s  ETA 33min
step  14600/80000  loss=0.3000  p=0.00070  33.2 s/s  ETA 33min
step  14700/80000  loss=0.2547  p=0.00070  33.2 s/s  ETA 33min
step  14800/80000  loss=0.1677  p=0.00070  33.2 s/s  ETA 33min
step  14900/80000  loss=0.2689  p=0.00070  33.2 s/s  ETA 33min
step  15000/80000  loss=0.3188  p=0.00070  33.2 s/s  ETA 33min
step  15100/80000  loss=0.1259  p=0.00070  33.2 s/s  ETA 33min
step  15200/80000  loss=0.2121  p=0.00070  33.2 s/s  ETA 33min
step  15300/80000  loss=0.1784  p=0.00070  33.2 s/s  ETA 32min
step  15400/80000  loss=0.2238  p=0.00070  33.2 s/s  ETA 32min
step  15500/80000  loss=0.1892  p=0.00070  33.2 s/s  ETA 32min
step  15600/80000  loss=0.1796  p=0.00070  33.3 s/s  ETA 32min
step  15700/80000  loss=0.2344  p=0.00070  33.3 s/s  ETA 32min
