Loading init from /workspace/pathfinder/train/checkpoints/d3_muon/best_model.pt
Loaded d=3 H=256 L=3 252,417 params
Init LER @ 4-param p=0.007: 0.02990
  >>> saved init checkpoint (ler=0.02990)
step      0/40000  loss=0.0676  1.0 s/s  ETA 667min
step    100/40000  loss=0.0909  48.1 s/s  ETA 14min
step    200/40000  loss=0.0664  50.6 s/s  ETA 13min
step    300/40000  loss=0.0904  51.4 s/s  ETA 13min
step    400/40000  loss=0.0984  51.7 s/s  ETA 13min
step    500/40000  loss=0.1320  51.7 s/s  ETA 13min
step    600/40000  loss=0.0941  51.9 s/s  ETA 13min
step    700/40000  loss=0.0609  52.1 s/s  ETA 13min
step    800/40000  loss=0.0722  52.3 s/s  ETA 13min
step    900/40000  loss=0.0747  52.4 s/s  ETA 12min
step   1000/40000  loss=0.1348  52.5 s/s  ETA 12min
step   1100/40000  loss=0.0744  52.6 s/s  ETA 12min
step   1200/40000  loss=0.1009  52.7 s/s  ETA 12min
step   1300/40000  loss=0.0704  52.7 s/s  ETA 12min
step   1400/40000  loss=0.0920  52.8 s/s  ETA 12min
step   1500/40000  loss=0.0965  52.8 s/s  ETA 12min
step   1600/40000  loss=0.1009  52.8 s/s  ETA 12min
step   1700/40000  loss=0.0722  52.8 s/s  ETA 12min
step   1800/40000  loss=0.0839  52.9 s/s  ETA 12min
step   1900/40000  loss=0.0893  52.9 s/s  ETA 12min
step   2000/40000  loss=0.0699  52.9 s/s  ETA 12min
  >>> LER @ p=0.007: 0.02870
  >>> saved (ler=0.02870)
step   2100/40000  loss=0.0643  52.9 s/s  ETA 12min
step   2200/40000  loss=0.0801  52.9 s/s  ETA 12min
step   2300/40000  loss=0.0903  52.9 s/s  ETA 12min
step   2400/40000  loss=0.0691  53.0 s/s  ETA 12min
step   2500/40000  loss=0.0865  53.0 s/s  ETA 12min
step   2600/40000  loss=0.0844  53.0 s/s  ETA 12min
step   2700/40000  loss=0.0656  53.0 s/s  ETA 12min
step   2800/40000  loss=0.0891  53.0 s/s  ETA 12min
step   2900/40000  loss=0.0808  53.0 s/s  ETA 12min
step   3000/40000  loss=0.1091  53.1 s/s  ETA 12min
step   3100/40000  loss=0.0570  53.1 s/s  ETA 12min
step   3200/40000  loss=0.0548  53.1 s/s  ETA 12min
step   3300/40000  loss=0.0822  53.1 s/s  ETA 12min
step   3400/40000  loss=0.0864  53.1 s/s  ETA 11min
step   3500/40000  loss=0.0932  53.1 s/s  ETA 11min
step   3600/40000  loss=0.0653  53.1 s/s  ETA 11min
step   3700/40000  loss=0.1292  53.2 s/s  ETA 11min
step   3800/40000  loss=0.0990  53.2 s/s  ETA 11min
step   3900/40000  loss=0.1169  53.2 s/s  ETA 11min
step   4000/40000  loss=0.0819  53.2 s/s  ETA 11min
  >>> LER @ p=0.007: 0.02660
  >>> saved (ler=0.02660)
step   4100/40000  loss=0.0662  53.1 s/s  ETA 11min
step   4200/40000  loss=0.0978  53.1 s/s  ETA 11min
step   4300/40000  loss=0.0814  53.1 s/s  ETA 11min
step   4400/40000  loss=0.0685  53.1 s/s  ETA 11min
step   4500/40000  loss=0.1061  53.2 s/s  ETA 11min
step   4600/40000  loss=0.0968  53.2 s/s  ETA 11min
step   4700/40000  loss=0.0830  53.2 s/s  ETA 11min
step   4800/40000  loss=0.0812  53.2 s/s  ETA 11min
step   4900/40000  loss=0.0944  53.2 s/s  ETA 11min
step   5000/40000  loss=0.0715  53.2 s/s  ETA 11min
step   5100/40000  loss=0.0779  53.2 s/s  ETA 11min
step   5200/40000  loss=0.0757  53.2 s/s  ETA 11min
step   5300/40000  loss=0.0788  53.2 s/s  ETA 11min
step   5400/40000  loss=0.1519  53.2 s/s  ETA 11min
step   5500/40000  loss=0.0783  53.2 s/s  ETA 11min
step   5600/40000  loss=0.0800  53.2 s/s  ETA 11min
step   5700/40000  loss=0.0654  53.2 s/s  ETA 11min
step   5800/40000  loss=0.0837  53.2 s/s  ETA 11min
step   5900/40000  loss=0.0930  53.2 s/s  ETA 11min
step   6000/40000  loss=0.0728  53.2 s/s  ETA 11min
  >>> LER @ p=0.007: 0.03120
step   6100/40000  loss=0.0844  53.2 s/s  ETA 11min
step   6200/40000  loss=0.1161  53.2 s/s  ETA 11min
step   6300/40000  loss=0.0494  53.2 s/s  ETA 11min
step   6400/40000  loss=0.0486  53.2 s/s  ETA 11min
step   6500/40000  loss=0.0759  53.2 s/s  ETA 10min
step   6600/40000  loss=0.0762  53.2 s/s  ETA 10min
step   6700/40000  loss=0.0753  53.2 s/s  ETA 10min
step   6800/40000  loss=0.0889  53.2 s/s  ETA 10min
step   6900/40000  loss=0.0870  53.3 s/s  ETA 10min
step   7000/40000  loss=0.0787  53.3 s/s  ETA 10min
step   7100/40000  loss=0.0738  53.4 s/s  ETA 10min
step   7200/40000  loss=0.0864  53.4 s/s  ETA 10min
step   7300/40000  loss=0.0809  53.5 s/s  ETA 10min
step   7400/40000  loss=0.0926  53.5 s/s  ETA 10min
step   7500/40000  loss=0.0760  53.6 s/s  ETA 10min
step   7600/40000  loss=0.1074  53.6 s/s  ETA 10min
step   7700/40000  loss=0.0897  53.7 s/s  ETA 10min
step   7800/40000  loss=0.0791  53.7 s/s  ETA 10min
step   7900/40000  loss=0.0827  53.7 s/s  ETA 10min
step   8000/40000  loss=0.0845  53.8 s/s  ETA 10min
  >>> LER @ p=0.007: 0.03040
step   8100/40000  loss=0.1189  53.8 s/s  ETA 10min
step   8200/40000  loss=0.0939  53.8 s/s  ETA 10min
step   8300/40000  loss=0.0834  53.8 s/s  ETA 10min
step   8400/40000  loss=0.0956  53.7 s/s  ETA 10min
