Device: cuda
Model: d=9, H=256, L=9, 624,129 params (1.2 MB at FP16)
Optimizers: 2 (SingleDeviceMuon, AdamW)
Pre-compiling Stim samplers for curriculum... 41 samplers ready.
step      0/80000  loss=0.8393  p=0.00070  lr=0.000000  1.0 steps/s  ETA 1333min
step    100/80000  loss=0.3160  p=0.00070  lr=0.002000  14.5 steps/s  ETA 92min
step    200/80000  loss=0.2935  p=0.00070  lr=0.004000  15.0 steps/s  ETA 88min
step    300/80000  loss=0.3468  p=0.00070  lr=0.006000  15.2 steps/s  ETA 87min
step    400/80000  loss=0.1830  p=0.00070  lr=0.008000  15.3 steps/s  ETA 86min
step    500/80000  loss=0.1569  p=0.00070  lr=0.010000  15.4 steps/s  ETA 86min
step    600/80000  loss=0.1448  p=0.00070  lr=0.012000  15.4 steps/s  ETA 86min
step    700/80000  loss=0.0346  p=0.00070  lr=0.014000  15.4 steps/s  ETA 86min
step    800/80000  loss=0.2006  p=0.00070  lr=0.016000  15.4 steps/s  ETA 86min
step    900/80000  loss=0.1475  p=0.00070  lr=0.018000  15.4 steps/s  ETA 86min
step   1000/80000  loss=0.2316  p=0.00070  lr=0.020000  15.4 steps/s  ETA 85min
step   1100/80000  loss=0.0966  p=0.00070  lr=0.020000  15.5 steps/s  ETA 85min
step   1200/80000  loss=0.2086  p=0.00070  lr=0.020000  15.5 steps/s  ETA 85min
step   1300/80000  loss=0.1512  p=0.00070  lr=0.019999  15.5 steps/s  ETA 85min
step   1400/80000  loss=0.1601  p=0.00070  lr=0.019999  15.5 steps/s  ETA 85min
step   1500/80000  loss=0.1166  p=0.00070  lr=0.019998  15.5 steps/s  ETA 84min
step   1600/80000  loss=0.1633  p=0.00070  lr=0.019997  15.5 steps/s  ETA 84min
step   1700/80000  loss=0.3173  p=0.00070  lr=0.019996  15.5 steps/s  ETA 84min
step   1800/80000  loss=0.3719  p=0.00070  lr=0.019995  15.6 steps/s  ETA 84min
step   1900/80000  loss=0.2434  p=0.00070  lr=0.019994  15.6 steps/s  ETA 84min
step   2000/80000  loss=0.2549  p=0.00070  lr=0.019992  15.6 steps/s  ETA 84min
  >>> EVAL LER at p=0.007: 0.430300
  >>> Saved best model (LER=0.430300)
step   2100/80000  loss=0.2647  p=0.00070  lr=0.019990  15.5 steps/s  ETA 84min
step   2200/80000  loss=0.2307  p=0.00070  lr=0.019989  15.5 steps/s  ETA 84min
step   2300/80000  loss=0.2622  p=0.00070  lr=0.019987  15.5 steps/s  ETA 84min
step   2400/80000  loss=0.2746  p=0.00070  lr=0.019985  15.5 steps/s  ETA 84min
step   2500/80000  loss=0.3117  p=0.00070  lr=0.019982  15.5 steps/s  ETA 84min
step   2600/80000  loss=0.2567  p=0.00070  lr=0.019980  15.5 steps/s  ETA 83min
step   2700/80000  loss=0.2602  p=0.00070  lr=0.019977  15.5 steps/s  ETA 83min
step   2800/80000  loss=0.2941  p=0.00070  lr=0.019974  15.5 steps/s  ETA 83min
step   2900/80000  loss=0.3846  p=0.00070  lr=0.019971  15.5 steps/s  ETA 83min
step   3000/80000  loss=0.3712  p=0.00070  lr=0.019968  15.5 steps/s  ETA 83min
step   3100/80000  loss=0.2553  p=0.00070  lr=0.019965  15.5 steps/s  ETA 83min
step   3200/80000  loss=0.2547  p=0.00070  lr=0.019962  15.5 steps/s  ETA 83min
step   3300/80000  loss=0.3307  p=0.00070  lr=0.019958  15.5 steps/s  ETA 83min
step   3400/80000  loss=0.2751  p=0.00070  lr=0.019954  15.5 steps/s  ETA 83min
