Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
step      0/40000  loss=0.1204  1.0 s/s  ETA 667min
step    100/40000  loss=0.1113  18.4 s/s  ETA 36min
step    200/40000  loss=0.1263  18.8 s/s  ETA 35min
step    300/40000  loss=0.1106  19.0 s/s  ETA 35min
step    400/40000  loss=0.1296  19.1 s/s  ETA 35min
step    500/40000  loss=0.0849  19.1 s/s  ETA 34min
step    600/40000  loss=0.0967  19.2 s/s  ETA 34min
step    700/40000  loss=0.1337  19.2 s/s  ETA 34min
step    800/40000  loss=0.1028  19.3 s/s  ETA 34min
step    900/40000  loss=0.1063  19.3 s/s  ETA 34min
step   1000/40000  loss=0.1221  19.3 s/s  ETA 34min
step   1100/40000  loss=0.1271  19.3 s/s  ETA 34min
step   1200/40000  loss=0.1099  19.3 s/s  ETA 34min
step   1300/40000  loss=0.1025  19.2 s/s  ETA 34min
step   1400/40000  loss=0.1027  19.2 s/s  ETA 33min
step   1500/40000  loss=0.0885  19.2 s/s  ETA 33min
step   1600/40000  loss=0.0978  19.2 s/s  ETA 33min
step   1700/40000  loss=0.1165  19.2 s/s  ETA 33min
step   1800/40000  loss=0.1038  19.3 s/s  ETA 33min
step   1900/40000  loss=0.1125  19.2 s/s  ETA 33min
step   2000/40000  loss=0.0977  19.2 s/s  ETA 33min
  >>> LER @ p=0.007: 0.04010
  >>> saved (ler=0.04010)
step   2100/40000  loss=0.0939  19.1 s/s  ETA 33min
step   2200/40000  loss=0.1103  19.2 s/s  ETA 33min
step   2300/40000  loss=0.0609  19.1 s/s  ETA 33min
step   2400/40000  loss=0.0943  19.1 s/s  ETA 33min
step   2500/40000  loss=0.0681  19.2 s/s  ETA 33min
step   2600/40000  loss=0.0871  19.2 s/s  ETA 33min
step   2700/40000  loss=0.1047  19.2 s/s  ETA 32min
step   2800/40000  loss=0.0985  19.2 s/s  ETA 32min
step   2900/40000  loss=0.0812  19.2 s/s  ETA 32min
step   3000/40000  loss=0.1340  19.2 s/s  ETA 32min
step   3100/40000  loss=0.0926  19.2 s/s  ETA 32min
step   3200/40000  loss=0.0715  19.2 s/s  ETA 32min
step   3300/40000  loss=0.0929  19.2 s/s  ETA 32min
step   3400/40000  loss=0.0766  19.2 s/s  ETA 32min
step   3500/40000  loss=0.1362  19.2 s/s  ETA 32min
step   3600/40000  loss=0.1083  19.2 s/s  ETA 32min
step   3700/40000  loss=0.1402  19.2 s/s  ETA 31min
step   3800/40000  loss=0.0818  19.2 s/s  ETA 31min
step   3900/40000  loss=0.1379  19.2 s/s  ETA 31min
step   4000/40000  loss=0.0631  19.2 s/s  ETA 31min
  >>> LER @ p=0.007: 0.04160
step   4100/40000  loss=0.1303  19.2 s/s  ETA 31min
step   4200/40000  loss=0.0758  19.2 s/s  ETA 31min
step   4300/40000  loss=0.1816  19.2 s/s  ETA 31min
step   4400/40000  loss=0.1491  19.2 s/s  ETA 31min
step   4500/40000  loss=0.1008  19.2 s/s  ETA 31min
step   4600/40000  loss=0.1242  19.2 s/s  ETA 31min
step   4700/40000  loss=0.1170  19.2 s/s  ETA 31min
step   4800/40000  loss=0.1013  19.2 s/s  ETA 30min
step   4900/40000  loss=0.1138  19.2 s/s  ETA 30min
step   5000/40000  loss=0.1166  19.2 s/s  ETA 30min
step   5100/40000  loss=0.0713  19.2 s/s  ETA 30min
step   5200/40000  loss=0.0752  19.2 s/s  ETA 30min
step   5300/40000  loss=0.0955  19.3 s/s  ETA 30min
step   5400/40000  loss=0.1196  19.3 s/s  ETA 30min
step   5500/40000  loss=0.0711  19.3 s/s  ETA 30min
step   5600/40000  loss=0.0801  19.3 s/s  ETA 30min
step   5700/40000  loss=0.1047  19.3 s/s  ETA 30min
step   5800/40000  loss=0.0827  19.3 s/s  ETA 30min
step   5900/40000  loss=0.1107  19.3 s/s  ETA 29min
step   6000/40000  loss=0.0690  19.3 s/s  ETA 29min
  >>> LER @ p=0.007: 0.04190
step   6100/40000  loss=0.1154  19.2 s/s  ETA 29min
step   6200/40000  loss=0.1290  19.3 s/s  ETA 29min
step   6300/40000  loss=0.1434  19.3 s/s  ETA 29min
step   6400/40000  loss=0.1423  19.3 s/s  ETA 29min
step   6500/40000  loss=0.1383  19.3 s/s  ETA 29min
step   6600/40000  loss=0.1206  19.3 s/s  ETA 29min
step   6700/40000  loss=0.0817  19.2 s/s  ETA 29min
step   6800/40000  loss=0.0990  19.2 s/s  ETA 29min
step   6900/40000  loss=0.0812  19.2 s/s  ETA 29min
step   7000/40000  loss=0.0848  19.2 s/s  ETA 29min
step   7100/40000  loss=0.0833  19.2 s/s  ETA 29min
step   7200/40000  loss=0.1118  19.2 s/s  ETA 28min
step   7300/40000  loss=0.1253  19.2 s/s  ETA 28min
step   7400/40000  loss=0.1227  19.2 s/s  ETA 28min
step   7500/40000  loss=0.1141  19.2 s/s  ETA 28min
step   7600/40000  loss=0.1365  19.2 s/s  ETA 28min
step   7700/40000  loss=0.0974  19.2 s/s  ETA 28min
step   7800/40000  loss=0.0964  19.2 s/s  ETA 28min
step   7900/40000  loss=0.1076  19.2 s/s  ETA 28min
step   8000/40000  loss=0.1721  19.2 s/s  ETA 28min
  >>> LER @ p=0.007: 0.03900
  >>> saved (ler=0.03900)
step   8100/40000  loss=0.0772  19.2 s/s  ETA 28min
step   8200/40000  loss=0.0551  19.2 s/s  ETA 28min
step   8300/40000  loss=0.0933  19.2 s/s  ETA 27min
step   8400/40000  loss=0.0867  19.2 s/s  ETA 27min
step   8500/40000  loss=0.0758  19.2 s/s  ETA 27min
step   8600/40000  loss=0.1424  19.2 s/s  ETA 27min
step   8700/40000  loss=0.0742  19.2 s/s  ETA 27min
step   8800/40000  loss=0.0733  19.2 s/s  ETA 27min
step   8900/40000  loss=0.1313  19.2 s/s  ETA 27min
step   9000/40000  loss=0.1025  19.2 s/s  ETA 27min
step   9100/40000  loss=0.0995  19.2 s/s  ETA 27min
step   9200/40000  loss=0.1101  19.2 s/s  ETA 27min
step   9300/40000  loss=0.0815  19.2 s/s  ETA 27min
step   9400/40000  loss=0.0944  19.2 s/s  ETA 26min
step   9500/40000  loss=0.1160  19.2 s/s  ETA 26min
step   9600/40000  loss=0.0622  19.3 s/s  ETA 26min
step   9700/40000  loss=0.0552  19.3 s/s  ETA 26min
step   9800/40000  loss=0.0982  19.3 s/s  ETA 26min
step   9900/40000  loss=0.1401  19.3 s/s  ETA 26min
